name,manufacturer,year,age,mileage,engine,transmission,price
Nissan Juke,Nissan,2017,4,65215,Petrol,Manual,8999
Nissan Juke,Nissan,2018,3,7000,Petrol,Manual,12995
Nissan Juke,Nissan,2017,4,31938,Petrol,Automatic,14295
Nissan Juke,Nissan,2018,3,7613,Petrol,Automatic,14990
Nissan Juke,Nissan,2017,4,38079,Diesel,Manual,9990
Nissan Qashqai,Nissan,2018,3,44759,Diesel,Manual,16495
Nissan Qashqai,Nissan,2018,3,40598,Diesel,Manual,17395
Nissan Qashqai,Nissan,2015,6,39088,Petrol,Manual,11490
Nissan Qashqai,Nissan,2020,1,816,Petrol,Semiautomatic,23250
Nissan Qashqai,Nissan,2018,3,35001,Diesel,Manual,16000
Nissan Qashqai,Nissan,2018,3,13021,Diesel,Manual,18265
Nissan Qashqai,Nissan,2018,3,31133,Diesel,Manual,15995
Nissan Qashqai,Nissan,2018,3,28336,Petrol,Manual,16995
